"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2022","1,722.59","1,723.23","1,725.63","1,720.15","","-0.11%"
"03/18/2022","1,724.43","1,727.20","1,727.83","1,720.52","","-0.06%"
"03/17/2022","1,725.47","1,723.95","1,728.05","1,721.98","","0.54%"
"03/16/2022","1,716.26","1,709.16","1,722.04","1,707.85","","0.52%"
"03/15/2022","1,707.34","1,705.67","1,710.97","1,701.89","","0.03%"
"03/14/2022","1,706.89","1,707.64","1,711.29","1,703.19","","-0.19%"
"03/11/2022","1,710.22","1,713.20","1,716.60","1,707.04","","-0.15%"
"03/10/2022","1,712.83","1,714.35","1,717.83","1,711.12","","0.15%"
"03/09/2022","1,710.24","1,708.17","1,718.27","1,706.90","","0.24%"
"03/08/2022","1,706.12","1,704.04","1,710.93","1,703.74","","0.06%"
"03/07/2022","1,705.03","1,716.85","1,716.85","1,701.75","","-0.71%"
"03/04/2022","1,717.22","1,726.28","1,726.63","1,713.89","","-0.64%"
"03/03/2022","1,728.33","1,729.25","1,730.58","1,721.17","","0.34%"
"03/02/2022","1,722.50","1,725.06","1,731.39","1,722.09","","-0.24%"
"03/01/2022","1,726.72","1,729.03","1,737.38","1,721.30","","-0.09%"
"02/28/2022","1,728.28","1,741.26","1,741.29","1,725.49","","-0.76%"
"02/25/2022","1,741.52","1,735.39","1,744.21","1,735.29","","0.41%"
"02/24/2022","1,734.41","1,750.74","1,750.95","1,729.79","","-0.96%"
"02/23/2022","1,751.17","1,751.25","1,753.75","1,750.43","","0.10%"
"02/22/2022","1,749.48","1,748.63","1,751.71","1,745.09","","-0.09%"
"02/21/2022","1,750.99","1,749.33","1,752.83","1,748.26","","0.04%"
"02/18/2022","1,750.29","1,748.12","1,752.29","1,747.65","","0.12%"
"02/17/2022","1,748.24","1,750.12","1,750.98","1,746.60","","-0.01%"
"02/16/2022","1,748.45","1,747.77","1,750.11","1,746.78","","0.19%"
"02/15/2022","1,745.13","1,741.63","1,747.55","1,741.38","","0.14%"
"02/14/2022","1,742.63","1,740.03","1,742.86","1,738.73","","-0.04%"
"02/11/2022","1,743.29","1,743.75","1,745.49","1,739.05","","-0.20%"
"02/10/2022","1,746.86","1,745.41","1,747.57","1,742.30","","0.16%"
"02/09/2022","1,744.08","1,742.85","1,745.97","1,742.29","","0.14%"
"02/08/2022","1,741.56","1,742.09","1,742.57","1,739.41","","0.04%"
"02/07/2022","1,740.87","1,742.63","1,743.01","1,739.27","","0.10%"
"02/04/2022","1,739.21","1,741.86","1,742.91","1,738.22","","0.00%"
"02/03/2022","1,739.17","1,740.19","1,741.63","1,738.09","","0.05%"
"02/02/2022","1,738.27","1,740.12","1,741.64","1,738.27","","-0.01%"
"02/01/2022","1,738.50","1,738.12","1,739.99","1,737.33","","0.10%"
"01/31/2022","1,736.69","1,731.99","1,738.23","1,731.62","","0.29%"
"01/28/2022","1,731.71","1,733.58","1,734.11","1,730.13","","-0.14%"
"01/27/2022","1,734.08","1,739.43","1,739.43","1,730.63","","-0.30%"
"01/26/2022","1,739.32","1,739.92","1,741.15","1,737.37","","0.04%"
"01/25/2022","1,738.60","1,740.49","1,740.54","1,736.94","","-0.04%"
"01/24/2022","1,739.21","1,742.70","1,743.74","1,736.83","","-0.19%"
"01/21/2022","1,742.55","1,742.86","1,744.00","1,740.93","","-0.08%"
"01/20/2022","1,743.87","1,743.67","1,745.43","1,741.99","","0.16%"
"01/19/2022","1,741.08","1,738.04","1,743.25","1,736.81","","0.09%"
"01/18/2022","1,739.49","1,743.64","1,744.99","1,737.29","","-0.16%"
"01/17/2022","1,742.23","1,741.37","1,743.05","1,739.93","","-0.03%"
"01/14/2022","1,742.71","1,741.92","1,744.52","1,740.28","","0.06%"
"01/13/2022","1,741.65","1,743.73","1,744.22","1,740.70","","0.05%"
